utterance,label,speaker,meeting_id
"היי רועי, אתה יכול לעדכן אותי על הפיצ'רים החדשים שנכנסו לכלי ה-Model Building?",0,דנה,Meeting_34
"כן, דיברתי עם ג'ו הבוקר ונראה שהוסיפו כמה שיפורים ל-UX.",0,רועי,Meeting_34
מעולה. אני מניחה שנצטרך לבדוק איך זה ישפיע על ה-Delivery שלנו?,0,דנה,Meeting_34
בהחלט. אני אמשיך לתאם עם ג'ו לעדכונים נוספים.,1,רועי,Meeting_34
חשוב גם לשקול את ההשלכות הכלכליות של הכנסת השבב החכם החדש.,0,דנה,Meeting_34
"נכון, זה יכול להשפיע על ה-Cost Structure שלנו.",0,רועי,Meeting_34
אולי כדאי שנעשה פגישה עם הצוות הכלכלי כדי לדון בזה?,0,דנה,Meeting_34
"נשמע טוב, אני אדאג לתאם את זה עם מירי מהפיננסים.",1,רועי,Meeting_34
"מצוין. אז לסיכום, אתה תמשיך לתאם עם ג'ו ואני אתאם פגישה כלכלית.",0,דנה,Meeting_34
בדיוק. אני אשלח לך את העדכונים ברגע שיהיו לי.,0,רועי,Meeting_34
"תודה רועי, שיהיה לך יום מוצלח.",0,דנה,Meeting_34
"תודה דנה, גם לך.",0,רועי,Meeting_34
"היי רועי, קיבלתי את ההודעה שלך, נוכל לדבר על המודלים היום בצהריים?",0,ג'ו,Meeting_34
"כן, תזכיר לי לדבר על ה-UX שיפורים החדשים.",0,רועי,Meeting_34
"אוקיי, אז אני אשלח לך זימון לפגישה.",0,ג'ו,Meeting_34
"מעולה, מחכה לשיחה.",0,רועי,Meeting_34
"רועי, לפני שאתה הולך, תזכור לעדכן אותי על הפגישה עם מירי.",0,דנה,Meeting_34
"כמובן, אשלח לך סיכום מיד אחרי הפגישה.",1,רועי,Meeting_34
"תודה רבה, נתראה בהמשך.",0,דנה,Meeting_34
"בכיף, להתראות.",0,רועי,Meeting_34
