utterance,label,speaker,meeting_id
"שלום לכולם, בואו נתחיל עם הצגות אישיות על התקדמות שנעשתה.",0,יוסי,Meeting_214
"היי, אני עבדתי על שיפור ה-User Interface של המערכת.",0,נועה,Meeting_214
אני התמקדתי באופטימיזציה של ה-Dataset Translation.,0,דני,Meeting_214
"נהדר, איך התקדמת עם זה?",0,יוסי,Meeting_214
אנחנו צריכים לקבוע כיצד לנהל את התרגום והכימות בין הסגמנטים.,1,דני,Meeting_214
"נכון, זה חשוב. נועה, מה לגבי השלב הבא?",0,יוסי,Meeting_214
אני מתכוונת לשלב תכונות ידידותיות למשתמש במסך ההתחלה.,1,נועה,Meeting_214
"מעולה, זה ישפר את חוויית המשתמש.",0,יוסי,Meeting_214
יש גם צורך בהדרכה למשימות נפוצות.,1,דני,Meeting_214
"נכון, זה חלק מהתכונות הידידותיות למשתמש.",0,יוסי,Meeting_214
אני אכין מדריך קצר לזה.,1,נועה,Meeting_214
"מצוין. דני, מתי תוכל לסיים את המיפוי של הנתונים?",0,יוסי,Meeting_214
אני אעבוד על זה השבוע.,1,דני,Meeting_214
"מעולה, תעדכן אותנו בהתקדמות.",0,יוסי,Meeting_214
יש עוד משהו שאנחנו צריכים להתמקד בו?,0,נועה,Meeting_214
נראה לי שכיסינו הכל להיום.,0,יוסי,Meeting_214
"טוב, אז אני אחזור לעבודה.",0,דני,Meeting_214
"תודה לכולם, ניפגש בפגישה הבאה.",0,נועה,Meeting_214
"תודה, שיהיה יום טוב!",0,יוסי,Meeting_214
