utterance,label,speaker,meeting_id
"היי רונית, איך התקדמנו עם האישורים למונחים כמו ""galactic reddening""?",0,יוסי,Meeting_244
"היי יוסי, אנחנו עדיין עובדים על זה. יש לנו פגישה עם הצוות המדעי מחר.",0,רונית,Meeting_244
מעולה. חשוב שנאשר את כל המונחים לפני שנמשיך.,1,יוסי,Meeting_244
"בהחלט, אני אדאג לזה.",1,רונית,Meeting_244
"שלום לכולם, מה עם העיצוב של השלט הרחוק החדש?",0,דני,Meeting_244
אנחנו עובדים על הרעיון לשלט קל לשימוש עם זיהוי פקולי פשוט.,0,רונית,Meeting_244
נשמע טוב. מתי נוכל לראות אבטיפוס?,0,יוסי,Meeting_244
אני מקווה שתוך שבועיים.,0,דני,Meeting_244
"חשוב שיהיה לו ערך מוסף, כמו יכולות מתקדמות של זיהוי פקולי.",1,רונית,Meeting_244
"כן, זה קריטי להצלחה שלנו בשוק.",1,יוסי,Meeting_244
"דני, תוכל לעבוד על הסקיצה הראשונית?",0,רונית,Meeting_244
"כן, אעביר סקיצה ראשונה עד סוף השבוע.",1,דני,Meeting_244
"ומה לגבי ""ionized emission""? איך אנחנו מתקדמים שם?",0,יוסי,Meeting_244
אנחנו בוחנים את המאפיינים הספקטרליים ומחכים לעוד תוצאות.,0,רונית,Meeting_244
טוב לדעת. תעדכני אותנו כשהתוצאות יגיעו.,1,יוסי,Meeting_244
"בוודאי, זה בראש סדר העדיפויות שלי.",1,רונית,Meeting_244
יש עוד משהו שאנחנו צריכים להתייחס אליו בדיון הזה?,0,דני,Meeting_244
אני חושב שזה מכסה את הכל להיום.,0,יוסי,Meeting_244
"אם כך, נסיים פה ונמשיך לעקוב אחר ההתקדמות.",0,רונית,Meeting_244
"תודה לכולם, נתראה בפגישה הבאה.",0,יוסי,Meeting_244
"תודה, יום טוב.",0,דני,Meeting_244
יום טוב לכולם.,0,רונית,Meeting_244
