utterance,label,speaker,meeting_id
"שלום, יוסי. אנחנו צריכים לדבר על עמידות ויעילות מחירית של השלטים שלנו.",0,דני,Meeting_167
"נכון, זה חשוב מאוד. אני חושב שאפשר לבדוק אפשרויות של סוללה נטענת.",1,יוסי,Meeting_167
"כן, זה יכול להוזיל עלויות בטווח הארוך.",0,דני,Meeting_167
"בדיוק. בנוסף, אנחנו צריכים להחליט על צורת האריזה.",0,יוסי,Meeting_167
חשבתי על צורה קעורה או כפולה קעורה.,0,דני,Meeting_167
"שקולתי גם כפולה קעורה, זה עשוי להראות יותר מקצועי.",1,יוסי,Meeting_167
זה רעיון טוב. נבדוק גם את הזמינות של חומרי האריזה.,0,דני,Meeting_167
אני אקח על עצמי לבדוק את זה.,1,יוסי,Meeting_167
מעולה. אני אטפל בבדיקת עלויות הסוללות הנטענות.,1,דני,Meeting_167
נשמע מצוין. מה לגבי לוחות זמנים?,0,יוסי,Meeting_167
אני מציע שנקבע את הדדליין לסוף החודש.,1,דני,Meeting_167
זה מתאפשר לי. אני אעדכן אותך בהתקדמות בעוד שבוע.,0,יוסי,Meeting_167
"מעולה, נתקדם עם זה.",0,דני,Meeting_167
תודה דני. נתראה בפגישה הבאה.,0,יוסי,Meeting_167
"תודה לך, יוסי.",0,דני,Meeting_167
