utterance,label,speaker,meeting_id
"בוקר טוב, חברים. אני רוצה שנתחיל לדבר על הפיתוח של ממשק השלט.",0,דני,Meeting_6
"בוקר טוב, דני. חשוב שנתחיל עם הפונקציות הבסיסיות.",0,נועה,Meeting_6
"כן, ליישם פונקציות כמו כפתור ההפעלה ובחירת ערוץ זה קריטי.",1,רוני,Meeting_6
"נכון, וגם בקרת עוצמת הקול ופונקציית השקט חייבים להיות מושלמים.",1,דני,Meeting_6
אני יכולה לקחת על עצמי את התיעוד של כל הממצאים והניסויים.,1,נועה,Meeting_6
חשוב שהתיעוד יהיה מקיף כדי שנוכל לנתח ולהחליט על ההמשך.,0,רוני,Meeting_6
"נשמע מצוין. רוני, אתה רוצה לעצב את השלט לנוחות השימוש?",0,דני,Meeting_6
"בהחלט, אני אעבוד על מיקום הכפתורים והעקומה.",1,רוני,Meeting_6
מתי הדדליין שלנו לכל המשימות הללו?,0,נועה,Meeting_6
אני חושב שתוך שבועיים אנחנו צריכים להיות עם אב טיפוס ראשוני.,0,דני,Meeting_6
"אם כך, אני אסיים את העיצוב עד יום חמישי הבא.",0,רוני,Meeting_6
ואני אסיים את התיעוד עד יום ראשון.,0,נועה,Meeting_6
מצוין. בואו נדאג שהכל יתבצע לפי התוכנית.,0,דני,Meeting_6
"כן, אני אעדכן את כולם לגבי התקדמות העיצוב.",0,רוני,Meeting_6
ואני אעדכן על תוצאות הניסויים.,0,נועה,Meeting_6
תודה לכולם על שיתוף הפעולה.,0,דני,Meeting_6
"תודה דני, בהצלחה לכולם!",0,רוני,Meeting_6
בהצלחה!,0,נועה,Meeting_6
