utterance,label,speaker,meeting_id
"בוקר טוב חבר'ה, יש לנו כמה נושאים חשובים לסגור היום.",0,אורי,Meeting_113
"כן, אני חושבת שכדאי שנתחיל עם הפגישה הבאה שלנו.",0,נועה,Meeting_113
"נכון, נועה, תוכלי להכין את המצגת לפגישה הבאה ולהציג פרטים נוספים?",1,אורי,Meeting_113
"בטח, אכין הכל ואגיע לפגישה הבאה עם כל המידע.",1,נועה,Meeting_113
"לגבי הדרישות החדשות שהתקבלו, צריך לשקול אותן ולהבין איך הן משפיעות על הפרויקט.",0,דנה,Meeting_113
אני יכול לקחת על עצמי לבדוק את הדרישות החדשות ולדווח חזרה.,1,ערן,Meeting_113
"מצוין ערן, תעדכן אותנו מה המסקנות שלך.",0,אורי,Meeting_113
ומה לגבי סדר הסרטים בטבלה? יש כמה בעיות שם.,0,דנה,Meeting_113
"אני אעבור על הטבלה ואבדוק את סדר הסרטים, ואתקן מה שצריך.",1,יובל,Meeting_113
"תודה יובל, זה חשוב מאוד.",0,אורי,Meeting_113
"אורי, איך אנחנו משלבים את תובנות מחקר עיצוב ממשק המשתמש?",0,נועה,Meeting_113
"יש לי כמה רעיונות, אבל אני צריך שתעבדו על זה ותביאו הצעות.",0,אורי,Meeting_113
אני יכולה להתחיל לשלב את התובנות ולדווח על התקדמות.,1,דנה,Meeting_113
אולי כדאי שנעשה סיעור מוחות קטן על זה?,0,ערן,Meeting_113
"רעיון טוב, אפשר לקבוע לזה זמן אחרי הצהריים.",0,יובל,Meeting_113
"אוקיי, אני אארגן את זה.",1,נועה,Meeting_113
"תודה לכולם, תעדכנו אותי בכל התקדמות.",0,אורי,Meeting_113
