utterance,label,speaker,meeting_id
"בוקר טוב, כולם. איך המצב?",0,יוסי,Meeting_88
"בוקר טוב, יוסי. הכל טוב, תודה. אנחנו צריכים לדבר על הפרויקט של זיהוי דיבור.",0,הילה,Meeting_88
"כן, קיבלנו משוב מהלקוח על ה-Noise Filtering. הם אמרו שיש עדיין יותר מדי רעשי רקע.",0,דניאל,Meeting_88
אנחנו צריכים לבדוק את ה-Algorithm שלנו ולראות איפה אפשר לשפר.,0,עדי,Meeting_88
"נכון, עדי. אני יכול לבדוק את ה-Code ולראות אם יש משהו שאנחנו מפספסים.",1,יוסי,Meeting_88
"יוסי, תוכל לעשות את זה עד סוף השבוע הזה?",0,הילה,Meeting_88
"כן, אין בעיה. אני אעשה את זה עד יום חמישי.",1,יוסי,Meeting_88
אולי כדאי גם לבדוק את ה-Data Set שאנחנו משתמשים בו לאימון.,0,דניאל,Meeting_88
"נכון, דניאל, אני אבדוק את ה-Data Set לראות אם יש שם בעיה.",1,עדי,Meeting_88
"עדי, תוכלי לסיים את זה עד יום ראשון?",0,הילה,Meeting_88
"כן, אני אעשה את זה עד יום ראשון.",1,עדי,Meeting_88
יש עוד משהו שאנחנו צריכים לשקול?,0,יוסי,Meeting_88
"כן, אולי כדאי לחשוב על שימוש ב-Machine Learning לצורך שיפור ה-Noise Filtering.",0,דניאל,Meeting_88
"זה רעיון טוב, דניאל. נוכל לדבר על זה בפגישה הבאה שלנו.",0,הילה,Meeting_88
"אז לסיכום, אני בודק את ה-Code, עדי בודקת את ה-Data Set, ונמשיך לחשוב על Machine Learning.",0,יוסי,Meeting_88
"נכון, יוסי. תודה לכולם על שיתוף הפעולה.",0,הילה,Meeting_88
"תודה לכולם, שיהיה יום טוב.",0,דניאל,Meeting_88
יום טוב לכולם!,0,עדי,Meeting_88
