utterance,label,speaker,meeting_id
"אוקיי, אז אנחנו מתחילים את הפגישה. יש כמה דברים על הפרק. נאווה, את יכולה להתחיל עם התקן עיצוב?",0,יואב,Meeting_222
"בטח, אני מציעה שנשתמש ב-Bootstrap כתקן עיצוב לרכיבים שלנו. זה ייתן לנו גמישות ועקביות.",1,נאווה,Meeting_222
זה נשמע טוב. איך נשמור על מסמכים שהושלמו?,0,איתן,Meeting_222
אנחנו צריכים לוודא שכל המסמכים נשמרים ב-Google Drive עם גיבוי ב-Cloud.,1,נאווה,Meeting_222
מה עם ההצגת של דגם העיצוב? מתי זה אמור להסתיים?,0,יואב,Meeting_222
"אני עובדת על זה, ואני אשלח לכם את זה לסקירה עד סוף השבוע.",1,נאווה,Meeting_222
חשוב גם לדון בהשלכות של קריסה ואובדן נתונים. מה אתם חושבים?,0,איתן,Meeting_222
זה באמת קריטי. אנחנו חייבים לוודא שיש לנו מערכת התאוששות טובה עם Data Recovery Plan.,1,יואב,Meeting_222
אני מסכימה. נוכל להשתמש ב-Version Control כדי למנוע אובדן נתונים.,1,נאווה,Meeting_222
"אוקיי, אז לסיכום, נאווה תטפל ב-Bootstrap ובגיבויים, ואני אעבוד על תוכנית התאוששות.",0,איתן,Meeting_222
"נשמע טוב. נאווה, תשלחי לי את התוכנית עד יום ראשון?",0,יואב,Meeting_222
"בהחלט, אשלח לך עד יום ראשון.",1,נאווה,Meeting_222
