utterance,label,speaker,meeting_id
"היי תמר, חשבת כבר על שילוב של אורות בעיצוב שלט הרחוק?",0,יואב,Meeting_220
"כן, אני חושבת שזה יכול להוסיף הרבה. במיוחד אם נשתמש ב-LEDs איכותיים.",0,תמר,Meeting_220
מסכים. זה יכול לשפר את ה-UX.,0,יואב,Meeting_220
"נכון, וגם אפשר לשלב עם תחנת הדוק כדי ליצור תאורה אחידה.",0,תמר,Meeting_220
כדאי שנבדוק את זה בפרוטוטייפ הבא.,0,יואב,Meeting_220
"אוקיי, אני אכין דוח על האופציות הזמינות עד סוף השבוע.",1,תמר,Meeting_220
"מצוין, ובינתיים אני אבדוק את העלויות.",1,יואב,Meeting_220
האם נצטרך לשנות את ה-PCB כדי לשלב את האורות?,0,תמר,Meeting_220
יכול להיות. נצטרך לבדוק עם המהנדסים.,0,יואב,Meeting_220
אני אפנה למהנדסים כדי לקבל הערכה ראשונית.,1,תמר,Meeting_220
נשמע טוב. נוכל לתאם פגישה עם כל הצוות לשבוע הבא?,0,יואב,Meeting_220
"כן, אני אשלח זימון ביומן.",1,תמר,Meeting_220
תודה. האם יש עוד משהו שצריך לדון בו?,0,יואב,Meeting_220
"לא כרגע, זה הכל להיום.",0,תמר,Meeting_220
"מעולה, נדבר בהמשך.",0,יואב,Meeting_220
ביי יואב.,0,תמר,Meeting_220
ביי תמר.,0,יואב,Meeting_220
