utterance,label,speaker,meeting_id
"היי יעל, מה המצב עם עיצוב הכפתורים שלנו?",0,דני,Meeting_48
"היי דני, עבדתי על ה-UI של הכפתורים. מה בדיוק צריך לעשות עם כפתור השקט?",0,יעל,Meeting_48
אני חושב שצריך להוסיף לו אינדקציה ויזואלית כשהוא מופעל.,0,דני,Meeting_48
"מסכימה, אולי שינוי צבע או אנימציה קטנה.",0,יעל,Meeting_48
ומה לגבי הניווט בתפריט?,0,דני,Meeting_48
אני עובדת על ה-Navigation Bar. צריך לוודא שהוא רספונסיבי.,0,יעל,Meeting_48
נכון. בואי נוודא שהניווט ברור גם במובייל.,0,דני,Meeting_48
"אוקיי, אני אעבוד על ה-Media Queries.",1,יעל,Meeting_48
תחשבי גם על User Experience כשאת בונה את הניווט.,0,דני,Meeting_48
כמובן. אני רוצה שזה יהיה אינטואיטיבי.,0,יעל,Meeting_48
יש לך הערכה מתי זה יהיה מוכן?,0,דני,Meeting_48
אני אוכל לסיים את זה עד יום רביעי הקרוב.,1,יעל,Meeting_48
מצוין. אני אבדוק את ה-Progress שלך ביום שלישי.,0,דני,Meeting_48
"אין בעיה, אעדכן אותך אם יהיו שינויים.",0,יעל,Meeting_48
מה לגבי כפתור השקט? צריך לסיים אותו גם.,0,דני,Meeting_48
"כן, אעבוד על זה הערב ואסיים עד מחר.",1,יעל,Meeting_48
"יופי, תודה יעל. זה חשוב שיהיה מוכן עד סוף השבוע.",0,דני,Meeting_48
"בהחלט, אני על זה.",0,יעל,Meeting_48
יש עוד משהו שאת צריכה ממני?,0,דני,Meeting_48
"לא כרגע, תודה. אעדכן אותך אם אצטרך עזרה.",0,יעל,Meeting_48
"בסדר גמור, שיהיה בהצלחה!",0,דני,Meeting_48
