utterance,label,speaker,meeting_id
"היי רן, יש לך רגע לדבר על ה-remote control החדש?",0,דנה,Meeting_212
"בטח, דנה. מה הנושא הראשון?",0,רן,Meeting_212
אנחנו צריכים לסיים את תכנון העיצוב של השלט הרחוק ואת פונקציות המסך המגע.,1,דנה,Meeting_212
"אוקיי, אני יכול לקחת את זה על עצמי ולסיים עד סוף השבוע.",1,רן,Meeting_212
ומה לגבי השמות? חשבנו על שמות שקשורים לעולם הפירות והירקות.,0,תמר,Meeting_212
"נכון, זה רעיון טוב. אולי נוכל להשתמש בשמות כמו ""מלון"" או ""קיווי"".",0,דנה,Meeting_212
אני אבדוק עוד אופציות ואחזור אליכם עם רשימה עד מחר.,1,רן,Meeting_212
ומה עם הערכת הנגישות של שימוש בפאנל סולארי?,0,תמר,Meeting_212
"אני אעשה את זה. זה ייקח כמה ימים, אז אעדכן אתכם ביום שני.",1,דנה,Meeting_212
"נשמע מצוין. ולגבי פתיחת שוק בינלאומי, מי לוקח את זה?",0,רן,Meeting_212
אני יכולה לטפל בזה. נתחיל עם מחקר שוק ונראה איך להתקדם.,1,תמר,Meeting_212
"אז בואו נעשה סיכום: רן, אתה על השלט והמסך, תמר על השוק, ואני על הפאנל הסולארי.",0,דנה,Meeting_212
בדיוק. נתעדכן בישיבה הבאה.,0,רן,Meeting_212
סגור. נתראה מחר.,0,תמר,Meeting_212
"תודה לכולם, שיהיה יום טוב!",0,דנה,Meeting_212
