utterance,label,speaker,meeting_id
"היי כולם, התכנסנו היום כדי לדון על המוצר החדש שלנו.",0,נועה,Meeting_100
"כן, אני חושב שאנחנו צריכים לסיים את ה-UX Design עד סוף השבוע.",0,דני,Meeting_100
"נכון, אבל לפני זה, נועה, האם יש אישור סופי על ה-UI Elements?",0,יונתן,Meeting_100
"כן, קיבלנו אישור סופי על ה-UI Elements אתמול.",1,נועה,Meeting_100
"מעולה! מה עם ה-Backend Integration, מתי זה מתוכנן להסתיים?",0,דני,Meeting_100
ה-Backend Integration מתוכנן להסתיים עד יום רביעי הבא.,0,מיכל,Meeting_100
"יש לנו גם את עניין ה-Testing, נועה, את יכולה לדאוג לכך?",0,יונתן,Meeting_100
"כן, אני מתחייבת לדאוג שה-Testing יושלם עד סוף החודש.",1,נועה,Meeting_100
תודה נועה. מה לגבי ה-Deployment?,0,דני,Meeting_100
ה-Deployment יבוצע אחרי שה-Testing יושלם.,0,מיכל,Meeting_100
"טוב, אז אנחנו מסכמים שנועה תדאג ל-Testing ומיכל תדאג ל-Deployment.",0,יונתן,Meeting_100
"בדיוק, נוודא שהכל יבוצע לפי לוח הזמנים.",0,נועה,Meeting_100
האם יש עוד משהו שנצטרך לדון עליו לפני שאנחנו מסיימים?,0,דני,Meeting_100
"יש את העניין של השקיה במוצר, האם קיבלנו אישור לזה?",0,יונתן,Meeting_100
"כן, יש לנו אישור לשקיה במוצר, אנחנו יכולים להמשיך.",1,נועה,Meeting_100
"מעולה, אז אני אעבוד על ה-Documentation כדי לוודא שהכל מסודר.",0,מיכל,Meeting_100
"תודה מיכל, זה מאוד חשוב.",0,יונתן,Meeting_100
"אוקיי, אז אנחנו מסיימים פה. תודה לכולם על הזמן והמאמץ.",0,דני,Meeting_100
"תודה לכם, נמשיך לעדכן על ההתקדמות.",0,נועה,Meeting_100
ביי לכולם!,0,מיכל,Meeting_100
להתראות!,0,יונתן,Meeting_100
להתראות!,0,דני,Meeting_100
