utterance,label,speaker,meeting_id
"היי דני, ראיתי את הכתיב של ה-API שלנו, אני חושבת שצריך לבדוק אותו שוב.",0,יעל,Meeting_181
"כן, זה רעיון טוב. אני אעבור עליו ואוודא שהכול נכון.",1,דני,Meeting_181
"תודה! עכשיו כשזה מסודר, כדאי גם לשקול הצעות לשיפור בעיצוב.",0,יעל,Meeting_181
בהחלט. אני חושב שכדאי להוסיף קצת צבעוניות יותר לאפליקציה.,0,דני,Meeting_181
"נכון, זה ימשוך את העין. כמה צבעים אנחנו צריכים להחליט עליהם?",0,יעל,Meeting_181
"אולי נלך על שלושה צבעים עיקריים, מה דעתך?",0,דני,Meeting_181
נשמע טוב. צריך גם להחליט על רכיבי העיצוב לשלט הרחוק.,0,יעל,Meeting_181
אני אבדוק את זה ואעדכן אותך ביום חמישי הקרוב.,1,דני,Meeting_181
"מעולה. לגבי התנהגות הפעולה של המשתמש, יש בעיות פוטנציאליות למשתמשים שמאליים?",0,יעל,Meeting_181
"כן, אני חושב שצריך לעצב את הממשק כך שיהיה ידידותי גם עבורם.",0,דני,Meeting_181
"אוקי, אז תדאג לזה?",0,יעל,Meeting_181
"כן, אני אטפל בזה במהלך השבוע.",1,דני,Meeting_181
"תודה דני, אני מעריכה את זה.",0,יעל,Meeting_181
"אין בעיה, תמיד כאן לעזור.",0,דני,Meeting_181
"יופי, נדבר בהמשך.",0,יעל,Meeting_181
