utterance,label,speaker,meeting_id
"אוקיי, בואו נעבור על המשימות שלנו להיום. קודם כל, אנחנו צריכים להחליט אם אנחנו משתמשים בסוללה בסיסית או סוללה קינטית. מה אתם חושבים?",0,יואב,Meeting_234
"לדעתי, סוללה קינטית יכולה להציע יתרונות רבים יותר מבחינת יעילות אנרגטית.",0,נועה,Meeting_234
"אני מסכים, אבל צריך לבדוק גם את העלויות לפני שמחליטים.",1,דני,Meeting_234
"נכון, דני, אתה יכול לבדוק את העלויות ולדווח לנו?",1,יואב,Meeting_234
"כן, אני אעשה את זה עד מחר בצהריים.",1,דני,Meeting_234
"מצוין. נועה, בעניין של הדפדוף, איך אנחנו משלבים תארכות דמות דובר?",0,יואב,Meeting_234
"אני חושבת שכדאי שנחקור כמה פלטפורמות קיימות, אולי יש להן פתרונות מוכנים.",0,נועה,Meeting_234
"אוקיי, את יכולה לקחת את זה על עצמך ולחזור אלינו עם ממצאים?",1,יואב,Meeting_234
"בהחלט, אני אעשה את זה עד יום רביעי.",1,נועה,Meeting_234
"ועכשיו, לגבי חקר הפוטנציאל השוקי של המוצר, מי יכול לקחת את זה?",0,יואב,Meeting_234
"אני יכול לעשות את זה, יש לי כבר ניסיון עם חקר שוק.",1,דני,Meeting_234
"מעולה, דני, תוכל לסיים את זה עד סוף השבוע?",1,יואב,Meeting_234
"כן, אני אדאג שזה יהיה מוכן עד אז.",1,דני,Meeting_234
"טוב, אז נסכם: דני בודק את העלויות ואת הפוטנציאל השוקי, ונועה חוקרת את תארכות דמות הדובר. נשמע טוב לכולם?",0,יואב,Meeting_234
"כן, נשמע מצוין.",0,נועה,Meeting_234
"בהחלט, אני איתכם.",0,דני,Meeting_234
"יופי, אז שיהיה לנו יום פרודוקטיבי!",0,יואב,Meeting_234
