utterance,label,speaker,meeting_id
"היי כולם, אפשר להתחיל את הפגישה?",0,שירה,Meeting_24
"כן, מהו הנושא הראשון שלנו היום?",0,דוד,Meeting_24
"קודם כל, אנחנו צריכים לבדוק את תוכנת זיהוי הצילום על מערך נתוני וידאו רחב.",0,שירה,Meeting_24
אני יכול לקחת על עצמי את המשימה הזאת.,1,יונתן,Meeting_24
"מצוין, יונתן. ומה לגבי הערכת חשיבות המטרת הגילאית במוצר?",0,שירה,Meeting_24
אני אעבוד על זה ואביא תובנות בשבוע הבא.,1,רונית,Meeting_24
"לגבי תקנות ותקני המרחב של האוניברסיטה, אני חושב שצריך לוודא תאימות.",0,דוד,Meeting_24
"נכון, דוד. אתה יכול לבדוק את זה?",0,שירה,Meeting_24
"כמובן, אני אטפל בזה ויחזור עם עדכונים.",1,דוד,Meeting_24
ומה עם יישום יכולות תנועה בזיהוי צילומים?,0,יונתן,Meeting_24
זו משימה חשובה. מי רוצה לקחת את זה?,0,שירה,Meeting_24
אני יכולה לבדוק את האפשרות ולראות איך נוכל ליישם את זה.,1,רונית,Meeting_24
תודה רונית. אז סיכמנו על המשימות.,0,שירה,Meeting_24
"מעולה, נראה שיש לנו תוכנית עבודה ברורה להמשך.",0,דוד,Meeting_24
"יופי, תודה לכולם ונמשיך לעדכן.",0,שירה,Meeting_24
