utterance,label,speaker,meeting_id
"היי קנדרה, אני חושב שצריך להתמקד יותר באינטראקציה של המשתמשים עם השלט. איך את רואה את זה?",0,דני,Meeting_116
"אני מסכימה, זה חשוב מאוד. אני אתחיל לעבוד על זה ולוודא שהשלט מספק חוויית משתמש טובה.",1,קנדרה,Meeting_116
"לגבי המחיצות בין כיתת המנוחה למרחבי המשרד, אתם חושבים שזה הכרחי?",0,אייל,Meeting_116
"כן, זה יאפשר לנו לשמור על פרטיות וגם על שקט בעבודה. אני אאשר עם הצוות ונקבל החלטה.",1,מיכל,Meeting_116
"טוב, ומה לגבי עיצוב השלט? איך נוודא שהוא תואם לתמונת המותג של החברה?",0,דני,Meeting_116
אני אעבור על הגרפיקות הנוכחיות ואוודא שהן מתאימות לתדמית שלנו.,1,קנדרה,Meeting_116
"זה נשמע טוב, ומה לגבי חקירת חדשנות טכנולוגית לעיצוב השלט? יש לכם רעיונות?",0,אייל,Meeting_116
נוכל לבדוק פתרונות חדשים כמו שימוש ב-LED. אני אחפש מה חדש בתחום הזה.,1,מיכל,Meeting_116
מצוין. אז בואו נקבע דדליינים כדי לוודא שאנחנו מתקדמים כמתוכנן.,0,דני,Meeting_116
"כן, אני יכולה לסיים את ניתוח האינטראקציה עד סוף השבוע.",0,קנדרה,Meeting_116
"אני אבדוק את עניין המחיצות עד שבוע הבא, ביום ראשון.",0,מיכל,Meeting_116
נראה לי שגם אני אסיים בדיקה של חדשנות טכנולוגית עד סוף השבוע הזה.,0,אייל,Meeting_116
"מעולה, אז יש לנו תוכנית. כולם, בואו נוודא שאנחנו עומדים בה.",0,דני,Meeting_116
