utterance,label,speaker,meeting_id
"היי כולם, אני רוצה לדבר על איך אנחנו מעריכים את ההעדפות של הלקוחות לגבי העיצוב של הממשק.",0,אורן,Meeting_8
"כן, שמעתי שיש ביקוש לשלטים פשוטים לשימוש, איך זה מסתדר עם הגישה שלך, יוסי?",0,דנה,Meeting_8
האמת היא שאני תומך בעיצוב מורכב יותר. אני חושב שהוא יכול להציע יותר פונקציונליות.,0,יוסי,Meeting_8
אבל מה לגבי ה-UX? לפעמים עיצוב פשוט יותר יכול לשפר את חוויית המשתמש.,0,מיכל,Meeting_8
"נכון, מיכל. אולי כדאי שנערוך A/B testing כדי לראות מה הכי מתאים לשוק שלנו.",0,אורן,Meeting_8
זה רעיון טוב. אני יכולה לקחת על עצמי את תכנון הבדיקה הזו.,1,דנה,Meeting_8
"ובינתיים, אולי כדאי שנבדוק את ה-Market research שלנו כדי לוודא שאנחנו בכיוון הנכון.",0,יוסי,Meeting_8
"אני מסכימה, יוסי. אני אבדוק את הנתונים שלנו ואשתף אתכם במסקנות.",1,מיכל,Meeting_8
"מצוין, מיכל. תעדכני אותנו לקראת סוף השבוע?",0,אורן,Meeting_8
"בהחלט, אשלח את המידע ביום חמישי.",1,מיכל,Meeting_8
ומה לגבי ה-User feedback? אנחנו צריכים לאסוף עוד נתונים על השימוש בפועל.,0,יוסי,Meeting_8
אני יכולה גם לארגן קבוצת מיקוד קטנה כדי לשמוע מהלקוחות שלנו יש לומר.,1,דנה,Meeting_8
"מעולה, דנה. מתי את חושבת שתוכלי להתחיל עם זה?",0,אורן,Meeting_8
אני יכולה להתחיל כבר ביום שני הבא.,1,דנה,Meeting_8
"יוסי, אולי תוכל לסייע לי עם ניתוח הנתונים הכמותיים?",0,מיכל,Meeting_8
"בטח, מיכל. אני פנוי ביום רביעי אז נוכל לעבוד על זה יחד.",1,יוסי,Meeting_8
"טוב, חבר'ה. נשמע שאנחנו מסודרים. ניפגש שוב בתחילת שבוע הבא כדי לבדוק איך מתקדמים.",0,אורן,Meeting_8
"כן, תודה אורן. יש לנו הרבה עבודה.",0,דנה,Meeting_8
"יאללה, בואו נתחיל לעבוד.",0,יוסי,Meeting_8
בהצלחה לכולם!,0,מיכל,Meeting_8
