utterance,label,speaker,meeting_id
"היי רונית, יש לנו כמה דברים לדון בהם היום.",0,יוסי,Meeting_141
"היי יוסי, אני מוכנה. מה הנושא הראשון?",0,רונית,Meeting_141
אנחנו צריכים להחליט על ערכת פירות וירקות לשלט רחוק החדש.,0,יוסי,Meeting_141
"נכון, יש לך רעיונות לגבי ה-UI?",0,רונית,Meeting_141
חשבתי על משהו פשוט. אולי להשתמש ב-icons של פירות וירקות.,0,יוסי,Meeting_141
זה נשמע טוב. אני יכולה לבדוק את ה-UX ולהציע כמה wireframes.,1,רונית,Meeting_141
מצוין. מתי תוכלי לסיים את זה?,0,יוסי,Meeting_141
אני אוכל לסיים עד יום חמישי הבא.,0,רונית,Meeting_141
"מעולה, תודה. נעבור לנושא הבא?",0,יוסי,Meeting_141
"כן, מה עם ה-integration עם ה-API החדש?",0,רונית,Meeting_141
אני חושב שנצטרך להתחיל את זה בשבוע הבא.,0,יוסי,Meeting_141
"אוקיי, אני אחראית על זה ואוכל לעדכן אותך בהתקדמות.",1,רונית,Meeting_141
תודה. נוכל לקבוע פגישה לעדכון ביום ראשון?,0,יוסי,Meeting_141
"כן, זה מסתדר לי.",0,רונית,Meeting_141
יש עוד משהו לדון?,0,יוסי,Meeting_141
אני חושבת שזה הכל להיום.,0,רונית,Meeting_141
"מצוין. תודה על הזמן שלך, רונית.",0,יוסי,Meeting_141
"תודה לך, יוסי. נתראה במייל.",0,רונית,Meeting_141
להתראות.,0,יוסי,Meeting_141
להתראות.,0,רונית,Meeting_141
