utterance,label,speaker,meeting_id
"בוקר טוב לכולם, נתחיל את הפגישה. איך עבר עליכם סוף השבוע?",0,רונית,Meeting_145
"היה נחמד, אני מוכן להתחיל עם ה-discussion על ה-market trends.",0,דוד,Meeting_145
"מצוין, אני רוצה שנתמקד במגמות חדשות כמו פירות וירקות. מה דעתכם?",0,רונית,Meeting_145
"אני חושבת שזה רעיון מעולה, במיוחד עם העלייה ב-demand למוצרים אורגניים.",0,שרון,Meeting_145
"נכון, צריך לבדוק data על צריכת פירות וירקות בשוק המקומי.",0,אייל,Meeting_145
"אוקיי, אז מי מוכן לעשות את המחקר הזה?",0,רונית,Meeting_145
אני יכול לקחת על עצמי את המשימה הזו ולחזור עם results בשבוע הבא.,1,דוד,Meeting_145
תודה דוד. חשוב שנשווה גם את המחירים שלנו ל-competitors.,0,רונית,Meeting_145
אני אוכל לעשות את ה-analysis הזה ולשתף את הממצאים.,1,שרון,Meeting_145
מה לגבי ה-UI של האפליקציה שלנו? אולי כדאי לחשוב על update.,0,אייל,Meeting_145
"נכון, צריך לבדוק איך אפשר לשפר את ה-user experience.",0,רונית,Meeting_145
אני אעבור על ה-feedback מהמשתמשים ואכין דוח.,1,שרון,Meeting_145
האם יש לנו timeline למעבר ל-cloud החדש?,0,אייל,Meeting_145
אני אבדוק מול הצוות הטכני ונדע את ה-schedule המדויק מחר.,1,דוד,Meeting_145
מצוין. אני רוצה שנזכור גם את ה-security של המידע שלנו.,0,רונית,Meeting_145
אני אעבוד על ה-assessment של ה-security ונראה מה אפשר לשפר.,1,אייל,Meeting_145
"טוב, אז יש לנו הרבה עבודה. מתי ניפגש שוב לעבור על ההתקדמות?",0,שרון,Meeting_145
"בואו נקבע פגישה נוספת לעוד שבועיים, בתאריך 15 באוקטובר.",0,רונית,Meeting_145
נשמע טוב. אני אשלח calendar invite לכולם.,1,דוד,Meeting_145
תודה לכולם על ההשתתפות. שיהיה לנו יום פורה!,0,רונית,Meeting_145
