utterance,label,speaker,meeting_id
"היי, רותם, יש לך רגע לדבר על הפרויקט שלנו?",0,יוסי,Meeting_56
"בטח, יוסי. מה קורה?",0,רותם,Meeting_56
אני רוצה לדון בצורך לבדוק ולמלא את גיליון האקסל לצורכי מימון.,0,יוסי,Meeting_56
"כן, זה בהחלט משהו שצריך לעשות. מתי אתה חושב שנוכל לסיים את זה?",0,רותם,Meeting_56
אני חושב שנוכל לסיים את זה עד סוף השבוע.,0,יוסי,Meeting_56
"אוקיי, אז אני אטפל בזה ואוודא שזה מוכן עד יום חמישי.",1,רותם,Meeting_56
"נהדר, ומה עם ניתוח של היכולת הפיננסית של הפרויקט?",0,יוסי,Meeting_56
זה גם משהו שחשוב מאוד. היינו צריכים לעשות financial analysis כבר מזמן.,0,רותם,Meeting_56
"נכון, חשוב להבין מה ה-budget שלנו ומה האפשרויות שלנו להמשך.",0,יוסי,Meeting_56
"אני יכולה להתחיל לעבוד על זה, אבל אזדקק לעזרתך בהמשך.",0,רותם,Meeting_56
אני אכין את כל ה-data שאתה תצטרך ותוכל להתחיל את הניתוח.,1,יוסי,Meeting_56
מצוין. אני אתחיל לעבוד על זה מחר בבוקר.,0,רותם,Meeting_56
תוכל לסיים את זה עד סוף השבוע הבא?,0,יוסי,Meeting_56
"כן, אני חושבת שזה אפשרי.",0,רותם,Meeting_56
"טוב, אז אנחנו מסודרים בינתיים.",0,יוסי,Meeting_56
"כן, אני אשלח לך עדכון אחרי שאסיים את החלק שלי.",0,רותם,Meeting_56
"תודה, רותם. אני בטוח שזה ייצא מצוין.",0,יוסי,Meeting_56
"אין בעיה, שמחתי לעזור.",0,רותם,Meeting_56
"אם יש משהו נוסף שאתה צריך, פשוט תגיד לי.",0,יוסי,Meeting_56
"תודה, יוסי. אני אודיע לך אם אצטרך משהו.",0,רותם,Meeting_56
"יופי, אז נדבר בהמשך.",0,יוסי,Meeting_56
"נדבר בהמשך, יום טוב!",0,רותם,Meeting_56
