utterance,label,speaker,meeting_id
"היי, אני צריך שנעבור על העלות של הפונקציות הניתנות לתכנות והתכונות של ה-voice recognition.",0,דניאל,Meeting_30
"כן, זה חשוב. נוכל להשתמש ב-API החדש כדי לבדוק את היכולות של ה-voice recognition.",0,נועה,Meeting_30
בואי נקבע מישהו שיבדוק את זה ויקבע עלויות.,0,דניאל,Meeting_30
אני יכולה לקחת את זה על עצמי ולהכין דוח על העלויות עד יום רביעי.,1,נועה,Meeting_30
מה לגבי העיצוב של תיק הגומי? סיימנו עם המוקאפ?,0,יוסי,Meeting_30
"לא, אני עדיין עובדת על זה, אבל אני מקווה לסיים עד מחר בערב.",1,נועה,Meeting_30
"יופי, נועה. יוסי, תדאג בבקשה לבדוק את פרוטוקולי הפגישה הראשונה ולוודא שהכל מוכן.",0,דניאל,Meeting_30
"ברור, אני אעשה את זה עד סוף היום.",1,יוסי,Meeting_30
"נהדר, תודה לך, יוסי.",0,דניאל,Meeting_30
"אז לסיכום, אני על ה-voice recognition ואת תיק הגומי, ויוסי על הפרוטוקולים.",0,נועה,Meeting_30
"נכון. נועה, אם תצטרכי עזרה עם העיצוב, אני כאן.",0,יוסי,Meeting_30
"תודה, אני אעדכן אותך אם אצטרך עזרה.",0,נועה,Meeting_30
בואו נפגש שוב ביום חמישי כדי לעשות סטטוס עדכני.,1,דניאל,Meeting_30
מתאים לי.,0,יוסי,Meeting_30
גם לי מתאים.,0,נועה,Meeting_30
"יופי, אז סגרנו. שיהיה לכולנו בהצלחה!",0,דניאל,Meeting_30
"תודה, יום טוב לכולם!",0,יוסי,Meeting_30
