utterance,label,speaker,meeting_id
שמעתי שיש רעיון לשלב פונקציות של זיהוי קול בשלט רחוק שלנו. מה דעתכם על זה?,0,דנה,Meeting_14
"זה רעיון מצוין, במיוחד אם אנחנו מכוונים למשתמשים צעירים.",0,יוסי,Meeting_14
"כן, אבל זה דורש עבודה על ה-UI/UX כדי לוודא שהאינטראקציה תהיה חלקה.",0,נועה,Meeting_14
אני יכול לבדוק איך זה ישתלב עם הטכנולוגיה הנוכחית שלנו.,1,איתי,Meeting_14
"מעולה, איתי. תוכל לעבוד על זה ולהביא עדכון בפגישה הבאה?",1,דנה,Meeting_14
"בטח, אעשה את זה עד יום שני הבא.",1,איתי,Meeting_14
"לגבי אסטרטגיית המחיר, צריך לבחון את המתחרים שלנו ולהחליט על גישה מתאימה.",0,יוסי,Meeting_14
אני יכולה להתחיל באיסוף מידע על המתחרים ולבנות טבלה השוואתית.,1,נועה,Meeting_14
"זה יהיה מצוין, נועה. תעדכני אותנו ברגע שיהיה לך משהו לשתף?",1,דנה,Meeting_14
"כמובן, אעבוד על זה במהלך השבוע.",1,נועה,Meeting_14
"ובינתיים, מי רוצה לקחת על עצמו את הכנת ההצגה הסופית של הפרויקט?",0,יוסי,Meeting_14
"אני כבר עבדתי על חלק מהשקפים, אז אני יכולה להמשיך עם זה.",1,דנה,Meeting_14
"יופי, דנה. מתי תוכלי לסיים את זה?",0,יוסי,Meeting_14
אני אשתדל לסיים עד יום רביעי בבוקר.,1,דנה,Meeting_14
"נשמע כמו תוכנית, אני אדאג לתיאומים הטכניים.",1,איתי,Meeting_14
"תודה, כולם. בואו נוודא שהכל מוכן עד סוף השבוע.",0,יוסי,Meeting_14
